
# Curve 0 of 1, 103 points
# Curve title: ""mc.data" using (floor($1/bin_width)*bin_width+bin_width/2):(1)"
# x y xlow xhigh type
 0.05  9544  0.05  0.05  i
 0.15  8662  0.15  0.15  i
 0.25  7796  0.25  0.25  i
 0.35  6953  0.35  0.35  i
 0.45  6360  0.45  0.45  i
 0.55  5701  0.55  0.55  i
 0.65  5219  0.65  0.65  i
 0.75  4782  0.75  0.75  i
 0.85  4164  0.85  0.85  i
 0.95  3896  0.95  0.95  i
 1.05  3557  1.05  1.05  i
 1.15  3107  1.15  1.15  i
 1.25  2924  1.25  1.25  i
 1.35  2573  1.35  1.35  i
 1.45  2343  1.45  1.45  i
 1.55  2145  1.55  1.55  i
 1.65  1974  1.65  1.65  i
 1.75  1652  1.75  1.75  i
 1.85  1573  1.85  1.85  i
 1.95  1404  1.95  1.95  i
 2.05  1293  2.05  2.05  i
 2.15  1156  2.15  2.15  i
 2.25  1053  2.25  2.25  i
 2.35  925  2.35  2.35  i
 2.45  849  2.45  2.45  i
 2.55  783  2.55  2.55  i
 2.65  709  2.65  2.65  i
 2.75  662  2.75  2.75  i
 2.85  569  2.85  2.85  i
 2.95  549  2.95  2.95  i
 3.05  494  3.05  3.05  i
 3.15  479  3.15  3.15  i
 3.25  402  3.25  3.25  i
 3.35  356  3.35  3.35  i
 3.45  311  3.45  3.45  i
 3.55  293  3.55  3.55  i
 3.65  268  3.65  3.65  i
 3.75  235  3.75  3.75  i
 3.85  229  3.85  3.85  i
 3.95  184  3.95  3.95  i
 4.05  172  4.05  4.05  i
 4.15  172  4.15  4.15  i
 4.25  146  4.25  4.25  i
 4.35  133  4.35  4.35  i
 4.45  118  4.45  4.45  i
 4.55  122  4.55  4.55  i
 4.65  95  4.65  4.65  i
 4.75  85  4.75  4.75  i
 4.85  90  4.85  4.85  i
 4.95  66  4.95  4.95  i
 5.05  73  5.05  5.05  i
 5.15  46  5.15  5.15  i
 5.25  66  5.25  5.25  i
 5.35  50  5.35  5.35  i
 5.45  36  5.45  5.45  i
 5.55  43  5.55  5.55  i
 5.65  34  5.65  5.65  i
 5.75  25  5.75  5.75  i
 5.85  19  5.85  5.85  i
 5.95  18  5.95  5.95  i
 6.05  16  6.05  6.05  i
 6.15  25  6.15  6.15  i
 6.25  12  6.25  6.25  i
 6.35  20  6.35  6.35  i
 6.45  15  6.45  6.45  i
 6.55  17  6.55  6.55  i
 6.65  14  6.65  6.65  i
 6.75  12  6.75  6.75  i
 6.85  7  6.85  6.85  i
 6.95  11  6.95  6.95  i
 7.05  8  7.05  7.05  i
 7.15  9  7.15  7.15  i
 7.25  9  7.25  7.25  i
 7.35  3  7.35  7.35  i
 7.45  7  7.45  7.45  i
 7.55  6  7.55  7.55  i
 7.65  8  7.65  7.65  i
 7.75  10  7.75  7.75  i
 7.85  8  7.85  7.85  i
 7.95  5  7.95  7.95  i
 8.05  1  8.05  8.05  i
 8.15  4  8.15  8.15  i
 8.25  2  8.25  8.25  i
 8.35  1  8.35  8.35  i
 8.45  2  8.45  8.45  i
 8.55  4  8.55  8.55  i
 8.65  1  8.65  8.65  i
 8.85  5  8.85  8.85  i
 8.95  1  8.95  8.95  i
 9.15  1  9.15  9.15  i
 9.25  4  9.25  9.25  i
 9.35  2  9.35  9.35  i
 9.45  4  9.45  9.45  i
 9.55  1  9.55  9.55  i
 9.65  1  9.65  9.65  i
 9.75  1  9.75  9.75  i
 10.05  1  10.05  10.05  i
 10.15  1  10.15  10.15  i
 10.35  1  10.35  10.35  i
 10.65  1  10.65  10.65  i
 11.65  1  11.65  11.65  i
 16.05  1  16.05  16.05  i


